nid,parent_nid,name,serial,type,latitude,longitude,status
1,0,aceh,11,1,4.695135,96.7493993,1
2,0,sumatera utara,12,1,2.1153547,99.5450974,1
3,0,sumatera barat,13,1,-0.7399397,100.8000051,1
4,0,riau,14,1,0.2933469,101.7068294,1
5,0,jambi,15,1,-1.4851831,102.4380581,1
6,0,sumatera selatan,16,1,-3.3194374,103.914399,1
7,0,bengkulu,17,1,-3.5778471,102.3463875,1
8,0,lampung,18,1,-4.5585849,105.4068079,1
9,0,kepulauan bangka belitung,19,1,-2.7410513,106.4405872,1
10,0,kepulauan riau,21,1,3.9456514,108.1428669,1
11,0,dki jakarta,31,1,-6.211544,106.845172,1
12,0,jawa barat,32,1,-7.090911,107.668887,1
13,0,jawa tengah,33,1,-7.150975,110.1402594,1
14,0,di yogyakarta,34,1,-7.8753849,110.4262088,1
15,0,jawa timur,35,1,-7.5360639,112.2384017,1
16,0,banten,36,1,-6.4058172,106.0640179,1
17,0,bali,51,1,-8.4095178,115.188916,1
18,0,nusa tenggara barat,52,1,-8.6529334,117.3616476,1
19,0,nusa tenggara timur,53,1,-8.6573819,121.0793705,1
20,0,kalimantan barat,61,1,-0.2787808,111.4752851,1
21,0,kalimantan tengah,62,1,-1.6814878,113.3823545,1
22,0,kalimantan selatan,63,1,-3.0926415,115.2837585,1
23,0,kalimantan timur,64,1,1.6406296,116.419389,1
24,0,sulawesi utara,71,1,0.6246932,123.9750018,1
25,0,sulawesi tengah,72,1,-1.4300254,121.4456179,1
26,0,sulawesi selatan,73,1,-3.6687994,119.9740534,1
27,0,sulawesi tenggara,74,1,-4.14491,122.174605,1
28,0,gorontalo,75,1,0.6999372,122.4467238,1
29,0,sulawesi barat,76,1,-2.8441371,119.2320784,1
30,0,maluku,81,1,-3.2384616,130.1452734,1
31,0,maluku utara,82,1,1.5709993,127.8087693,1
32,0,papua barat,91,1,-1.3361154,133.1747162,1
33,0,papua,94,1,-4.269928,138.0803529,1
